METRICA,VALORE,NOTE
Concorsi analizzati,4221,Conteggio archivio fino al concorso 4221
Media hit/sestina,0.38,Media numeri corretti per concorso
Hit rate >= 2,4.7%,Percentuale concorsi con almeno 2 hit
Con 0 hit,2825,Numero concorsi con esattamente 0 hit
Con 1 hit,1196,Numero concorsi con esattamente 1 hit
Con 2 hit,188,Numero concorsi con esattamente 2 hit
Con 3 hit,11,Numero concorsi con esattamente 3 hit
Con 4 hit,0,Numero concorsi con esattamente 4 hit
Con 5 hit,0,Numero concorsi con esattamente 5 hit
Con 6 hit,0,Numero concorsi con esattamente 6 hit
Best streak,7,Massima sequenza di concorsi con almeno 1 hit
Distribuzione hit 0-6,0: 2825 | 1: 1196 | 2: 188 | 3: 11 | 4: 0 | 5: 0 | 6: 0,"Conteggio concorsi con esattamente 0, 1, 2, 3, 4, 5 o 6 hit"
Media hit ultimi 100,0.42,Ultimi 100 concorsi o meno
Ultimo concorso calcolato,4221,Data estrazione: 10/07/2026
Concorso successivo stimato,4222,Sestina proposta: 02 03 07 18 28 33
Sestina proposta (prossimo concorso),02 03 07 18 28 33,Pronostico prodotto con addestramento incrementale
Top6 finestra 50,28 07 57 13 18 33,Numeri piu frequenti nelle ultime 50
Top6 finestra 100,07 33 63 02 03 08,Numeri piu frequenti nelle ultime 100
Top6 finestra 200,07 08 09 18 58 90,Numeri piu frequenti nelle ultime 200
Overlap Top6 (50/100/200),1,Numeri presenti in tutte e tre le top6
Volatilita finestre,12,Dispersione tra top list delle finestre
