METRICA,VALORE,NOTE
Concorsi analizzati,4215,Conteggio archivio fino al concorso 4215
Media hit/sestina,0.41,Media numeri corretti per concorso
Hit rate >= 2,5.2%,Percentuale concorsi con almeno 2 hit
Con 0 hit,2727,Numero concorsi con esattamente 0 hit
Con 1 hit,1267,Numero concorsi con esattamente 1 hit
Con 2 hit,207,Numero concorsi con esattamente 2 hit
Con 3 hit,13,Numero concorsi con esattamente 3 hit
Con 4 hit,0,Numero concorsi con esattamente 4 hit
Con 5 hit,0,Numero concorsi con esattamente 5 hit
Con 6 hit,0,Numero concorsi con esattamente 6 hit
Best streak,7,Massima sequenza di concorsi con almeno 1 hit
Distribuzione hit 0-6,0: 2727 | 1: 1267 | 2: 207 | 3: 13 | 4: 0 | 5: 0 | 6: 0,"Conteggio concorsi con esattamente 0, 1, 2, 3, 4, 5 o 6 hit"
Media hit ultimi 100,0.47,Ultimi 100 concorsi o meno
Ultimo concorso calcolato,4215,Data estrazione: 18/06/2026
Concorso successivo stimato,4216,Sestina proposta: 03 86 79 12 85 37
Sestina proposta (prossimo concorso),03 86 79 12 85 37,Pronostico prodotto con addestramento incrementale
Coppie osservate,4005,Numero coppie distinte viste almeno una volta
Terzine osservate,60020,Numero terzine distinte viste almeno una volta
Ritardo massimo coppia,3122,Massimo ritardo storico registrato su una coppia
Ritardo massimo terzina,4187,Massimo ritardo storico registrato su una terzina
Coppia piu ritardataria,11-60,Ritardo corrente: 3001
Terzina piu ritardataria,20-36-41,Ritardo corrente: 4214
Score ritardi combo sestina,24290409,Indice sintetico interno basato su ritardi coppie/terzine
