METRICA,VALORE,NOTE
Concorsi analizzati,4210,Conteggio archivio fino al concorso 4210
Media hit/sestina,0.42,Media numeri corretti per concorso
Hit rate >= 2,5.5%,Percentuale concorsi con almeno 2 hit
Con 0 hit,2699,Numero concorsi con esattamente 0 hit
Con 1 hit,1278,Numero concorsi con esattamente 1 hit
Con 2 hit,220,Numero concorsi con esattamente 2 hit
Con 3 hit,12,Numero concorsi con esattamente 3 hit
Con 4 hit,0,Numero concorsi con esattamente 4 hit
Con 5 hit,0,Numero concorsi con esattamente 5 hit
Con 6 hit,0,Numero concorsi con esattamente 6 hit
Best streak,8,Massima sequenza di concorsi con almeno 1 hit
Ultimo concorso calcolato,4210,Data estrazione: 09/06/2026
Concorso successivo stimato,4211,Riferimento ASTRA Moon: 11/06/2026 20:30 CEST (11/06/2026 18:30 UTC)
Sestina proposta (prossimo concorso),06 04 08 07 05 09,Ranking numeri da effemeridi lunari + storico incrementale
