METRICA,VALORE,NOTE
Concorsi analizzati,4143,Conteggio archivio dal concorso 1 al concorso 4143
Media hit/sestina,0.39,Media numeri corretti per concorso
Hit rate >= 2,5.0%,Percentuale concorsi con almeno 2 hit
Hit rate >= 3,0.3%,Percentuale concorsi con almeno 3 hit
Hit rate >= 4,0.0%,Percentuale concorsi con almeno 4 hit
Hit rate >= 5,0.000%,Percentuale concorsi con almeno 5 hit
Hit rate >= 6,0.00000%,Percentuale concorsi con 6 hit
Con 2 hit,197,Numero concorsi con esattamente 2 hit
Con 3 hit,12,Numero concorsi con esattamente 3 hit
Con 4 hit,0,Numero concorsi con esattamente 4 hit
Con 5 hit,0,Numero concorsi con esattamente 5 hit
Con 6 hit,0,Numero concorsi con esattamente 6 hit
Best streak,7,Massima sequenza di concorsi con almeno 1 hit
Ultimo concorso calcolato,4143,Data estrazione: 10/02/2026
Concorso successivo stimato,4144,Sestina proposta: 06 55 77 82 83 85
Sestina proposta (prossimo concorso),06 55 77 82 83 85,Calcolata da scoring neurale su finestra storica recente
